q[nm-1]	rebin(sample_DPPC_0000_av_sub_rebin_rscld.txt_00001_[],1,0.0070)	error
1.52896037e+00	6.29762005e-02	4.55061606e-05
1.56595164e+00	6.01328249e-02	8.29622377e-05
1.60294291e+00	5.71948751e-02	8.30408788e-05
1.63993418e+00	5.40494764e-02	8.01259448e-05
1.67692546e+00	5.06297392e-02	7.82535234e-05
1.71391673e+00	4.73181878e-02	7.66367285e-05
1.75090800e+00	4.41098029e-02	3.54374848e-05
1.78789927e+00	4.09081480e-02	3.48014138e-05
1.82489055e+00	3.76758091e-02	3.42603035e-05
1.86188182e+00	3.45122785e-02	3.37025087e-05
1.89887309e+00	3.14075324e-02	3.31196833e-05
1.93586436e+00	2.84380083e-02	3.25897930e-05
1.97285564e+00	2.56105264e-02	3.21018483e-05
2.00984691e+00	2.29458955e-02	3.16279538e-05
2.04683818e+00	2.04052826e-02	3.11565190e-05
2.08382945e+00	1.80428342e-02	3.06951581e-05
2.12082072e+00	1.57960273e-02	3.01972030e-05
2.15781200e+00	1.37761642e-02	2.97267595e-05
2.19480327e+00	1.19700968e-02	2.93587135e-05
2.23179454e+00	1.02599082e-02	2.90354744e-05
2.26878581e+00	8.75978411e-03	2.75728350e-05
2.31194230e+00	7.24434584e-03	2.47846872e-05
2.36126399e+00	5.77980155e-03	2.31502096e-05
2.41058569e+00	4.57619864e-03	2.29046681e-05
2.45990739e+00	3.57122676e-03	2.27454701e-05
2.50922908e+00	2.84534632e-03	2.31514839e-05
2.55855078e+00	2.28220035e-03	2.37555599e-05
2.60787248e+00	1.91638530e-03	2.35307738e-05
2.65719417e+00	1.69217820e-03	2.29600199e-05
2.70651587e+00	1.58343782e-03	2.27079408e-05
2.75583756e+00	1.64269381e-03	2.25676216e-05
2.80515926e+00	1.72357619e-03	2.24481944e-05
2.85448096e+00	1.87087723e-03	2.23365076e-05
2.90380265e+00	2.03381628e-03	2.21794177e-05
2.95312435e+00	2.16834579e-03	2.20065256e-05
3.00244605e+00	2.34101797e-03	2.19065010e-05
3.05176774e+00	2.48777275e-03	2.06533460e-05
3.11341986e+00	2.66455747e-03	1.93206683e-05
3.17507198e+00	2.76381740e-03	1.91816026e-05
3.23672410e+00	2.83555588e-03	1.90195034e-05
3.29837622e+00	2.82743217e-03	1.89837902e-05
3.36002834e+00	2.81089297e-03	1.90334521e-05
3.42168047e+00	2.72477366e-03	1.91176692e-05
3.48333259e+00	2.60784129e-03	1.97587769e-05
3.54498471e+00	2.40046709e-03	2.03862824e-05
3.60663683e+00	2.19073083e-03	2.01347303e-05
3.66828895e+00	2.04028646e-03	1.97096687e-05
3.72994107e+00	1.89902508e-03	1.94494623e-05
3.79159319e+00	1.73886147e-03	1.87550514e-05
3.85941052e+00	1.57344772e-03	1.76558750e-05
3.93339307e+00	1.43722599e-03	1.70755580e-05
4.00737561e+00	1.33216600e-03	1.70277928e-05
4.08135815e+00	1.26670505e-03	1.69939723e-05
4.15534070e+00	1.24833874e-03	1.69411430e-05
4.22932324e+00	1.25676234e-03	1.69077249e-05
4.30330579e+00	1.28896139e-03	1.69218797e-05
4.37728833e+00	1.32120474e-03	1.70069379e-05
4.45127088e+00	1.36488099e-03	1.75499331e-05
4.52525342e+00	1.38328436e-03	1.79364558e-05
4.59923597e+00	1.44347155e-03	1.70406285e-05
4.68554893e+00	1.49495359e-03	1.62207422e-05
4.77186190e+00	1.51997369e-03	1.63531012e-05
4.85817487e+00	1.54914257e-03	1.65492640e-05
4.94448784e+00	1.49322855e-03	1.67479380e-05
5.03080081e+00	1.46869770e-03	1.69819218e-05
5.11711378e+00	1.44139590e-03	1.75749505e-05
5.20342675e+00	1.37749569e-03	1.83140568e-05
5.28973971e+00	1.30242608e-03	1.88999293e-05
5.37605268e+00	1.24453754e-03	1.87602667e-05
5.47469608e+00	1.21458056e-03	1.87273561e-05
5.57333947e+00	1.16332141e-03	1.96793055e-05
5.67198286e+00	1.13949876e-03	2.08343300e-05
5.77062625e+00	1.09210726e-03	2.20650746e-05
5.86926965e+00	1.07617972e-03	2.35160010e-05
5.96791304e+00	9.80936442e-04	2.56346022e-05
6.06655643e+00	1.00176886e-03	3.69536869e-05
